序號,漢字,Unicode,字集,有疑問／想挑戰紀錄,台客語,IICore台,IICore港,甲表,乙表,小字典,重編,縣市名,路名,姓氏,考生,城市,JIS,字型數,分類,附註
6136,懨,6.10E+09,Big5-2,,C,,,V,,V,,,,,,,,10,,
6494,戇,6207,Big5-2,台、客,A,A,,V,,V,,,,,,,,9,,
6138,戽,0623D,Big5-2,台、客,B,,,V,,V,,,,,,,,10,,
1555,扑,6251,Big5-1,台,A,,,V,,V,,,,,,4,,14,不分類,14 都有收
7200,扞,0625E,Big5-2,台,C,,,V,,V,,,,1,,2,,7,,扞格不入
5484,扦,6266,Big5-2,台,A,,,V,,V,,,,,,,,12,,扦插
5806,扱,6271,Big5-2,台,,A,,V,,V,,,,,,1,常,11,日文,
5807,抔,6294,Big5-2,台、客,,,,V,,V,,,,,,2,,11,台語,
5098,担,062C5,CJK,,,,,,,V,,,,,,1,常,13,異體,"擔／建議將「担」移至基本包。若顧慮基本包字數之考量，則至少應收錄於本土包。
「担」作為「擔」之異體，台灣使用率不低。生活中常見如「担仔麵」「担担麵」「飯担」「麵担仔」等用例。教育部《臺灣閩南語常用詞辭典》也將「担」列為「擔」之異用字。
建議審視「臺灣閩南語推薦用字」及《臺灣閩南語常用詞辭典》所收錄之「異用字」，並據此增補本土包甚至基本包。部分異用字於民間習用已久，有其收錄之必要性。"
5485,拊,062CA,Big5-2,台,,,,V,,V,,,,,,2,,12,,
5486,拏,062CF,Big5-2,,A,A,,V,,V,,,,,,2,,12,異體,拿
5099,挂,6302,Big5-1,台,A,,,V,,V,,,,,,2,,13,異體,掛
6499,挲,6332,Big5-2,台、客,B,,,V,,V,,,,,,4,,9,,
5100,挹,6339,Big5-2,台,B,,,V,,V,,1,,33,,3,,13,常用詞,挹注
1638,捅,6345,Big5-2,台,A,A,,V,,V,,,,,,,,14,不分類,14 都有收
6500,捋,0634B,Big5-2,台、客,B,,,V,,V,,,,,,,,9,,
1641,捌,0634C,Big5-1,台,A,A,,V,V,V,,,,,,1,,14,不分類,14 都有收
1642,捍,0634D,Big5-1,客,A,A,,V,,V,,,,1,,2,,14,不分類,14 都有收
1651,据,0636E,Big5-2,,A,A,,V,V,V,,,,,,1,常,14,不分類,14 都有收
1656,捺,0637A,Big5-1,客,A,A,,V,V,V,,,,,,1,人,14,不分類,14 都有收
5808,捽,0637D,Big5-2,台、客,,B,,V,,V,,,,,,,,11,台語,
5101,掂,6382,Big5-2,台,A,A,,V,,V,,,,,,,,13,常用詞,惦斤兩
1665,掐,6390,Big5-2,,A,A,,V,V,V,,,,,,,,14,不分類,14 都有收
5487,掮,063AE,Big5-2,台,B,,,V,,V,,,,,,,,12,常用詞,掮客
7208,掯,063AF,Big5-2,,,,,V,,V,,,,,,,,7,,ㄎㄣˋ，網路用語
1681,掰,063B0,Big5-2,台、客,B,,,V,,V,,,,,,,,14,不分類,14 都有收
5488,揄,063C4,Big5-2,,A,A,,V,,V,,,,2,,2,,12,常用詞,揶揄
5809,揠,6.30E+01,Big5-2,,B,,,V,V,V,,,,,,4,,11,,揠苗助長
5489,揶,063F6,Big5-2,,A,A,,V,,V,,,,,,2,,12,常用詞,揶揄
1699,揹,063F9,Big5-1,台、客,A,,,V,,V,,,,,,,,14,不分類,14 都有收
5102,搆,6406,Big5-1,,A,,,V,V,V,,,,,,2,,13,常用詞,搆不著
5103,搐,6410,Big5-2,台、客,A,A,,V,,V,,,,,,3,,13,常用詞,抽搐
1708,搥,6425,Big5-2,,B,,,V,V,V,,,,,,4,,14,不分類,14 都有收
1709,搧,6427,Big5-2,台、客,C,,,V,V,V,,,,,,,,14,不分類,14 都有收
6152,搴,6434,Big5-1,,A,,,V,,V,,,,2,,2,,10,,
5490,搵,6435,Big5-2,台、客,B,B,,V,,V,,,,,,,,12,常用詞,粵語、台語蠻常用
1716,摀,6440,Big5-2,,C,,,V,V,V,,,,,,,,14,不分類,14 都有收
5105,摁,6441,Big5-2,台,B,,,V,,V,,,,,,,,13,網路,網路常用應聲詞
6153,摃,6443,Big5-2,台,B,,,V,,,,,,,,,,10,,
6510,摜,0645C,Big5-2,,C,,,V,,V,,,,,,,,9,,大盤摜破年線
6857,摭,0646D,Big5-1,,A,,,V,,V,,,,1,,3,,8,,
5106,摳,6473,Big5-2,台、客,C,,,V,V,V,,,,,,4,,13,常用詞,摳腳
5810,摶,6476,Big5-2,,C,,,V,,V,,,,,,2,,11,,
1728,摻,0647B,Big5-1,台、客,A,A,,V,V,V,,,,,,,,14,不分類,14 都有收
1729,撂,6482,Big5-2,客,A,,,V,,V,,,,,,,,14,不分類,14 都有收
5491,撙,6499,Big5-1,台、客,A,,,V,,V,,,,,,,,12,常用詞,撙節支出
5492,撢,064A2,Big5-1,,A,,,V,V,V,,,,,,,,12,常用詞,雞毛撢子
6155,撣,064A3,Big5-2,,,,,V,,V,,,,,1,,,10,,緬甸撣邦
6156,撳,064B3,Big5-1,客,A,,,V,,V,,,,1,,,,10,,
6157,撾,064BE,Big5-1,,A,A,,V,,V,,,,,,3,,10,,
6514,擀,064C0,CJK,,,,,,,V,,,,,,,,9,,擀麵
5107,擢,6.40E+03,Big5-1,台,A,A,,V,V,V,,,,1,,1,人,13,常用詞,擢髮難數
5811,擣,6.40E+04,Big5-2,,,,,V,V,V,,,,,,2,,11,,同搗
5108,擤,6.40E+05,Big5-2,台、客,B,,,V,V,V,,,,,,4,,13,常用詞,擤鼻涕
5813,擯,064EF,Big5-2,,,,,V,,V,,,,,,2,,11,,
1770,擷,064F7,Big5-1,,A,A,,V,,V,,,,5,,3,,14,不分類,14 都有收
6515,擼,064FC,Big5-2,,,,,,,,,,,,,,,9,,擼管 擼貓
6517,攖,6516,Big5-2,,C,,,V,,V,,,,1,,4,,9,,
1782,攢,6522,Big5-2,台,B,B,,V,,V,,,,3,,3,,14,不分類,14 都有收
6160,攥,6525,Big5-2,,B,,,,,V,,,,,,,,10,,
1790,攸,6538,Big5-1,,A,A,,V,V,V,,,13,159,,2,,14,不分類,14 都有收
6864,敉,6549,Big5-1,,A,,,V,,V,,,,2,,,,8,,
6518,敔,6554,Big5-1,,A,,,V,,V,,,,14,,4,,9,,
1799,敕,6555,Big5-1,,A,,,V,V,V,,,,,,2,,14,不分類,14 都有收
1818,斌,0658C,Big5-2,台,A,A,,V,,V,,1,,2528,,1,,14,不分類,14 都有收
1821,斕,6595,Big5-1,,A,A,,V,V,V,,,,2,,,,14,不分類,14 都有收
5109,斛,0659B,Big5-1,,A,A,,V,V,V,,,,,,2,,13,古漢文,五斗為一斛
8460,斲,065B2,Big5-2,,C,,,V,,V,,,,1,,4,,5,,"建議基本包增收「斲」。
「斲傷」一詞見於當代書面語，中研院現代漢語語料庫詞頻統計「斲傷(VC)」詞頻5次、「斲傷(Nv)」詞頻1次，另有「斲喪(VC)」詞頻1次。此外尚有「斲琴」通用於傳統音樂等領域。"
5815,旂,065C2,Big5-2,,C,,,V,,V,,,,94,,4,,11,命名常用,
6163,旒,065D2,Big5-2,,A,A,,V,,V,,,,1,,2,,10,,
1855,旻,065FB,Big5-2,,A,A,,V,,V,,,2,4892,,2,,14,不分類,14 都有收
6165,旼,065FC,Big5-2,,A,A,,V,,V,,,,73,,4,,10,,
6868,昃,6603,Big5-2,,,,,V,,V,,,,1,,2,,8,,千字文
1859,昇,6607,Big5-1,台、客,A,A,,V,V,V,,40,,4448,1,1,常,14,不分類,14 都有收
6519,昉,6609,Big5-2,,A,A,,V,,V,,,,73,,3,,9,,
5110,昊,0660A,Big5-1,台,A,A,,V,,V,,,,564,,2,人,13,姓氏、人名,垃圾昊欠噓
1865,昕,6615,Big5-1,,A,A,,V,,V,,,,2448,,3,,14,不分類,14 都有收
6521,昤,6624,Big5-1,,A,A,,,,,,,,1,,3,,9,,
1873,昱,6631,Big5-1,台、客,A,A,,V,V,V,,,,8510,,3,,14,不分類,14 都有收
5495,昴,6634,Big5-2,,,A,,V,,V,,,,3,,2,人,12,科學工程,星宿名
5496,昵,6635,Big5-2,,,,,V,,V,,,,31,,2,,12,異體,暱
1874,昶,6636,Big5-2,,A,A,,V,,V,,,1,1080,,2,,14,不分類,14 都有收
5111,晁,6641,Big5-1,台、客,A,A,,V,V,V,,,294,191,,2,,13,姓氏、人名,
5112,晞,0665E,Big5-1,,A,A,,V,,V,,,,103,,2,,13,常用詞,白露未晞
1883,晟,0665F,Big5-2,台、客,A,A,,V,,V,,,,1701,,2,人,14,不分類,14 都有收
6167,晢,6662,Big5-2,,B,B,,V,,V,,,,68,,2,,10,,
7219,晬,0666C,Big5-2,台,,,,V,,V,,,,,,4,,7,,周晬
5497,晷,6677,Big5-1,,A,A,,V,V,V,,,,,,3,,12,常用詞,日晷
1893,晾,0667E,Big5-1,台、客,A,A,,V,V,V,,,,,,,,14,不分類,14 都有收
1894,暄,6684,Big5-1,,A,A,,V,V,V,,,,735,,2,,14,不分類,14 都有收
6522,暌,0668C,Big5-2,,C,,,V,,V,,,,2,,,,9,,暌違 = 睽違
6169,暍,0668D,Big5-1,,A,,,V,,V,,,,,,3,,10,,
1898,暐,6690,Big5-2,,A,A,,V,,V,,,,1851,,4,,14,不分類,14 都有收
1902,暘,6698,Big5-1,,A,A,,V,,V,,,,511,,2,,14,不分類,14 都有收
5113,暝,0669D,Big5-1,台,A,A,,V,,V,,,,,,2,,13,不分類,幽暝，不等於瞑
1907,暱,066B1,Big5-1,台、客,A,A,,V,V,V,,,,1,,4,,14,不分類,14 都有收
5114,暸,066B8,Big5-1,,A,,,,,,,,,,,2,,13,不分類,常用的應該是嘹跟瞭，暸少用
5115,曄,066C4,Big5-1,,A,A,,V,,V,,,,851,,2,,13,姓氏、人名,
1911,曇,066C7,Big5-1,客,A,A,,V,,V,,,,37,20,1,常,14,不分類,14 都有收
1915,曜,066DC,Big5-1,台,A,A,,V,V,V,,,1,1321,,1,常,14,不分類,14 都有收
1919,曩,6.60E+10,Big5-1,,A,,,V,,V,,,2,,,2,,14,不分類,14 都有收
1920,曬,066EC,Big5-1,,A,A,,,,V,,,1,,1,4,,14,不分類,14 都有收
5116,机,0673A,Big5-2,,A,A,,V,,V,,,597,25,,1,常,13,異體,機 常用簡體、日語
1955,杆,6746,Big5-1,台、客,A,A,,V,V,V,,,,,10,2,,14,不分類,14 都有收
6523,杈,6748,Big5-2,客,B,,,V,,V,,,,,,3,,9,,
7221,杌,0674C,Big5-2,,,,,V,,V,,,,,,4,,7,,檮杌｜四凶
5117,杓,6753,Big5-1,台、客,A,A,,V,,V,,1,,2,,1,,13,常用詞,斗杓東指
5819,杙,6759,Big5-2,台,C,,,V,,V,,1,,6,,2,,11,,
5498,杠,6760,Big5-1,,A,A,,V,,V,,,,,,2,,12,古漢文,
5118,杪,0676A,Big5-1,,A,A,,V,,V,,,,1,,2,,13,異體,渺，也指東西的末端 如「樹杪」
5820,杲,6772,Big5-1,,A,A,,V,,V,,,33,4,,2,,11,,日文、中國地名
5499,杼,0677C,Big5-1,,A,,,V,V,V,,,,17,,2,,12,,不聞機杼聲，惟聞女嘆息
5821,极,6781,Big5-2,,,,,,,,,,,,,3,,11,簡體,北極
5500,枒,6792,Big5-2,,C,,,V,V,V,,,,,,4,,12,異體,椏
6174,枓,6793,Big5-1,,A,A,,V,,V,,,,,,3,,10,,
5501,枳,067B3,Big5-2,,A,A,,V,V,V,,,,2,,2,,12,偶爾會用,南橘北枳
7690,枵,067B5,Big5-2,台、客,,,,V,,V,,,,,,,,6,,枵腹從公
1986,枷,067B7,Big5-2,台、客,A,A,,V,V,V,,,,3,,2,,14,不分類,14 都有收
5824,柁,067C1,Big5-2,,,,,V,,V,,,,,,1,,11,偶爾會用,掌柁
5502,柊,067CA,Big5-2,,,,,,,,,,,9,,1,人,12,命名常用,公司行號多
1992,柒,067D2,Big5-1,客,A,A,,V,V,V,,,1,,,4,,14,不分類,14 都有收
5503,柘,067D8,Big5-2,,,,,V,,V,,,2,6,,1,人,12,動植物,桑柘；人名常見
5825,柙,067D9,Big5-1,台,A,,,V,,V,,,,,,4,,11,古漢文,
5826,柝,067DD,Big5-1,台,A,A,,V,,V,,,,,,2,,11,,
1997,柢,6.70E+03,Big5-1,,A,,,V,V,V,,,,,1,2,,14,不分類,14 都有收
5827,柺,067FA,Big5-2,,B,B,,,,,,,,,,,,11,異體,拐
5504,栖,6816,Big5-2,客,A,A,,V,,V,,,,,2,1,人,12,動植物,羊栖菜；或做棲異體
5505,栢,6822,CJK,,A,A,,,,V,,,475,181,,1,,12,姓氏、人名,
5119,桁,6841,Big5-1,客,A,A,,V,,V,,,,10,,1,常,13,常用詞,桁木、桁條
6874,桄,6844,Big5-2,,B,B,,V,,V,,,,12,10,4,,8,,
6527,桉,6849,Big5-2,,B,,,V,,V,,,,5,,4,,9,,
5120,桎,0684E,Big5-2,,A,A,,V,,V,,,,9,,2,,13,連綿詞,桎梏
5121,梏,0688F,Big5-2,,A,A,,V,,V,,,,,,2,,13,連綿詞,桎梏
5506,梘,6898,CJK,台,,B,,,,,,2,,,,4,,12,台灣地名,梘頭公園，景美的古名（梘尾）
5828,梠,068A0,Big5-2,,B,,,,,V,,,,,,2,,11,古漢文,
6875,梡,068A1,Big5-1,,A,A,,V,,V,,,,,,,,8,,
5829,棨,6.80E+09,Big5-2,,A,A,,V,,V,,,,185,,3,,11,命名常用,
5507,棱,068F1,Big5-2,,A,A,,V,,V,,,,35,,3,,12,姓氏、人名,
2065,棻,068FB,Big5-1,,A,,,V,,V,,,,713,,4,,14,不分類,14 都有收
5830,椋,0690B,Big5-2,,A,,,,,,,,,,,1,人,11,動植物,椋鳥
8504,椌,0690C,Big5-2,,,,,V,,V,,,,,,2,,5,,蘭嶼椌木
5122,椏,0690F,Big5-2,台、客,B,,,V,V,V,,,,11,,2,,13,常用詞,枝椏
5508,椪,0692A,Big5-2,台,C,,,V,,V,,,,,,2,,12,,椪柑
5509,椹,6939,Big5-2,台,B,,,V,,V,,,,,,2,,12,食物,
5831,椽,0693D,Big5-2,,A,A,,V,,V,,,,9,,2,,11,偶爾會用,屋椽
5123,椿,0693F,Big5-2,,A,A,,V,,V,,1,2,99,,1,人,13,常用詞,香椿
6181,楂,6942,Big5-2,客,B,B,,V,,V,,,,,,3,,10,,
5510,楝,0695D,Big5-1,台、客,A,,,V,,V,,1,,1,,2,,12,動植物,台南市新市區紫楝路
6184,楢,6962,Big5-2,,A,A,,V,,V,,,,3,1,1,人,10,,
5124,楣,6963,Big5-1,台、客,A,A,,V,V,V,,,,50,,3,,13,常用詞,光耀門楣
5125,楮,0696E,Big5-1,,A,A,,V,,V,,,26,,,2,,13,常用詞,植物名 桑科楮屬，落葉灌木；少數姓氏
5833,楸,6978,Big5-2,,A,A,,V,,V,,,,12,10,2,,11,動植物,
5834,榎,0698E,Big5-2,,A,,,V,,,,,9,2,,1,人,11,姓氏、人名,
6187,榧,069A7,Big5-2,,A,A,,V,,V,,,,,,2,,10,,
5126,槃,069C3,Big5-1,,A,A,,V,,V,,,,3,,2,,13,常用詞,涅槃
5837,槙,069D9,Big5-2,,A,,,,,,,,,15,,1,人,11,命名常用,
5838,槤,6.90E+05,Big5-2,台、客,B,B,,V,,V,,,,1,,,,11,動植物,榴槤
5511,槭,069ED,Big5-1,,A,,,V,,V,,,,,,2,,12,動植物,
5839,槲,069F2,Big5-2,,C,,,V,,V,,,,,,2,,11,動植物,
5840,槻,069FB,Big5-2,,,A,,,,V,,,,2,11,1,人,11,日文,
5512,槿,069FF,Big5-2,,A,A,,V,V,V,,,,101,,2,,12,常用詞,朴槿惠
2109,樑,06A11,Big5-1,台、客,A,A,,,,V,,,,256,,4,,14,不分類,14 都有收
7236,樨,06A28,Big5-2,,,,,V,,V,,,,2,,,,7,,
5513,橈,06A48,Big5-1,,A,A,,V,,V,,,,,,2,,12,,
6537,橾,06A7E,Big5-1,,A,,,V,,,,,,,,4,,9,,
5841,檎,06A8E,Big5-2,,A,A,,V,,V,,,,1,,1,人,11,日文,林檎
5127,檐,06A90,Big5-1,,A,A,,V,,V,,,,,,2,,13,異體,簷
5842,檗,06A97,Big5-1,,A,A,,V,,,,,,,,2,,11,中國地名,
6192,檠,06AA0,Big5-1,台、客,A,A,,V,,V,,,,20,,2,,10,,
5843,檣,06AA3,Big5-1,,A,A,,V,,V,,,,11,,2,,11,古漢文,
5844,檮,06AAE,Big5-1,,A,,,V,,V,,,,,1,2,,11,古漢文,
2136,檯,06AAF,Big5-1,台、客,A,A,,V,V,V,,,,,,,,14,不分類,14 都有收
5845,櫞,06ADE,Big5-2,台、客,,,,,,V,,,,1,,2,,11,動植物,
5514,櫟,06ADF,Big5-2,,B,,,V,,V,,,,5,,2,,12,動植物,
5846,櫨,06AE8,Big5-2,,,,,V,,V,,,,,,1,,11,動植物,
6194,櫪,06AEA,Big5-2,,C,,,V,,V,,,,9,,2,,10,,
7239,櫫,06AEB,Big5-2,,C,,,V,,V,,,,,,,,7,,揭櫫
5515,櫬,06AEC,Big5-1,,A,,,V,,,,,,,,4,,12,古漢文,
10507,櫱,06AF1,Big5-2,,,,,V,,V,,,,,,4,,3,,
5128,櫸,06AF8,Big5-2,,B,,,V,V,V,,,,13,,,,13,常用詞,山毛櫸
5129,櫺,06AFA,Big5-1,,A,,,V,,V,,,,3,,2,,13,常用詞,窗櫺
5516,欉,06B09,Big5-2,台、客,C,,,,,,,,403,28,,,,12,,
7240,欏,06B0F,Big5-2,,,,,,,,,,,,,4,,7,,桫欏、筆筒樹
2150,欒,06B12,Big5-2,,A,A,,V,,V,,,1302,55,,2,,14,不分類,14 都有收
5847,欷,06B37,Big5-2,,C,,,V,,V,,,,,,2,,11,,欷吁
2156,欸,06B38,Big5-2,台、客,C,,,V,V,V,,,1,,,2,,14,不分類,14 都有收
5848,歃,06B43,Big5-2,客,,,,V,,V,,,,,,2,,11,常用詞,歃血為盟
5130,歆,06B46,Big5-2,台,A,A,,V,,V,,,,797,,3,,13,姓氏、人名,陳霈歆
2163,歎,06B4E,Big5-1,台,A,A,,V,V,V,,,,2,,1,人,14,不分類,14 都有收
5849,歛,06B5B,Big5-2,,B,B,,V,,V,,,,,,2,,11,,
6886,殂,06B82,Big5-2,,B,,,V,,V,,,,,,3,,8,,
5850,殄,06B84,Big5-2,,A,A,,V,,V,,,,,,2,,11,常用詞,暴殄天物
6538,殍,06B8D,Big5-2,,,,,V,,V,,,,,,2,,9,,野有餓殍
7246,殛,06B9B,Big5-2,,C,,,V,,V,,,,,,4,,7,,電殛
5851,殞,06B9E,Big5-2,,A,A,,V,,V,,,,,,2,,11,常用詞,殞落
5852,殫,06BAB,Big5-2,,C,,,V,V,V,,,,,,2,,11,常用詞,殫思竭慮
5131,殭,06BAD,Big5-2,台,B,B,,V,,V,,,,,,3,,13,常用詞,殭屍
5853,毘,06BD8,Big5-2,,,A,,V,,V,,,,1,,1,人,11,,佛教
5517,毬,06BEC,Big5-1,台,A,A,,V,V,V,,,,,,2,人,12,常用詞,擊毬
7248,氂,06C02,Big5-2,,,,,V,,V,,,,,,4,,7,,氂牛、犛牛
5854,氅,06C05,Big5-1,台,A,,,V,,V,,,,,,3,,11,偶爾會用,氅衣
5132,氈,06C08,Big5-1,台、客,A,A,,V,V,V,,,,,,2,,13,常用詞,羊毛氈
5133,气,06C14,Big5-2,,,,,V,,V,,,,,,2,,13,部首,
8549,氕,06C15,Big5-2,,,,,V,,V,,,,,,,,5,,氕氘氚
6541,氘,06C18,Big5-2,,,,,V,,V,,,,,,,,9,,
5855,氙,06C19,Big5-2,,B,,,V,,V,,,,,,,,11,,元素
6197,氚,06C1A,Big5-2,,,,,V,,V,,,,,,,,10,,
6542,氡,06C21,Big5-2,,,,,,,V,,,,,,,,9,,
5134,氪,06C2A,Big5-2,,B,B,,V,,V,,,,,,,,13,網路,氪金玩家
5856,氬,06C2C,Big5-1,,A,,,V,,V,,,,,,,,11,,
5518,氰,06C30,Big5-2,,A,A,,V,,V,,,,,,,,12,科學工程,劇毒氰化鉀
5857,汆,06C46,Big5-2,客,B,,,V,,V,,,,,,,,11,常用詞,汆燙
5135,汎,06C4E,Big5-1,,A,A,,V,,V,,1,,435,6,1,常,13,常用詞,汎德永業
5858,汛,06C5B,Big5-1,,A,A,,V,,V,,,,21,,4,,11,常用詞,汛期
2240,污,06C61,Big5-1,台、客,A,A,,V,V,,,,,,,,,14,不分類,14 都有收
2241,汨,06C68,Big5-1,客,A,A,V,,,,,,1,7,,2,,14,不分類,14 都有收
5136,汴,06C74,Big5-1,台、客,A,,,V,V,V,,7,3,2,1,3,,13,中國地名,黃河支流
2245,汶,06C76,Big5-1,客,A,A,,V,,V,,2,1,1691,91,3,,14,不分類,14 都有收
2250,沂,06C82,Big5-1,,A,A,,V,,V,,1,,678,,2,,14,不分類,14 都有收
5519,沆,06C86,Big5-1,,A,A,,V,,V,,,,5,,3,,12,常用詞,沆瀣一氣
6199,沍,06C8D,Big5-1,,A,,,V,,V,,,,1,,2,,10,,
5137,沏,06C8F,Big5-2,,A,,,V,V,V,,,,,,,,13,常用詞,沏茶
5520,沓,06C93,Big5-2,台,A,A,,V,V,V,,,4,1,,1,人,12,台語,
6200,沔,06C94,Big5-1,,A,A,,V,,V,,,,1,1,4,,10,,
5138,沬,06CAC,Big5-1,台,A,,,V,,V,,,,,,,,13,史地用字,水名
6888,泖,06CD6,Big5-1,,A,,,V,,V,,,,1,,4,,8,,
5860,泠,06CE0,Big5-1,,A,,,V,,V,,,,90,,3,,11,,
6543,泫,06CEB,Big5-2,,,A,,V,,V,,,,18,,3,,9,,泫雅
5521,泮,06CEE,Big5-2,,A,A,,V,,V,,1,,2,,3,,12,命名常用,人名店名太常用
2287,泯,06CEF,Big5-1,客,A,A,,V,,V,,,,127,,2,,14,不分類,14 都有收
2291,泵,06CF5,Big5-1,台、客,A,A,,V,,V,,,,,,,,14,不分類,14 都有收
5861,洁,06D01,Big5-2,,,,,,,,,,,9,,,,11,簡體,潔
5139,洄,06D04,Big5-2,台,B,,,V,V,V,,,,1,,3,,13,常用詞,洄瀾
6544,洎,06D0E,Big5-1,客,A,,,V,,V,,,,2,,3,,9,,
5522,洒,06D12,Big5-2,台,A,,,V,,V,,,6,2,,2,,12,異體,灑
6205,洙,06D19,Big5-2,,A,A,,V,,V,,,,11,,2,,10,,
5140,洨,06D28,Big5-2,,B,,,V,,V,,,,1,,,,13,網路,豪洨
2298,洩,06D29,Big5-1,台、客,A,A,,V,V,V,,,,,,1,,14,不分類,14 都有收
5862,洫,06D2B,Big5-1,,A,,,V,,V,,,,,,2,,11,古漢文,
6545,洮,06D2E,Big5-1,,A,,,V,,V,,,,3,1,3,,9,,
5863,洳,06D33,Big5-2,,,,,V,,V,,,,148,,2,,11,姓氏、人名,鄭孟洳
2302,洵,06D35,Big5-1,,A,A,,V,,V,,,,298,,2,人,14,不分類,14 都有收
5141,洸,06D38,Big5-1,,A,A,,V,,V,,,,94,,2,人,13,姓氏、人名,核能教授葉宗洸
5142,浣,06D63,Big5-2,,A,A,,V,V,V,,,11,31,,2,,13,常用詞,浣熊
5864,浥,06D65,Big5-1,,A,A,,V,,V,,,,58,,3,,11,命名常用,
5865,浯,06D6F,Big5-2,,C,,,V,,V,,4,,2,,,,11,台灣地名,浯江
5143,浹,06D79,Big5-1,客,A,A,,V,V,V,,,,,,2,,13,常用詞,汗流浹背
2318,涂,06D82,Big5-2,台,A,A,,V,V,V,,,27498,1682,,3,,14,不分類,14 都有收
2319,涅,06D85,Big5-1,,A,A,,V,,V,,,,,459,2,,14,不分類,14 都有收
5144,涌,06D8C,Big5-1,,A,A,,V,,V,,,,3,,1,,13,異體,同湧，常用於香港地名，如東涌
5523,涔,06D94,Big5-1,客,A,,,V,V,V,,,,7,,3,,12,姓氏、人名,汗涔涔
5524,涿,06DBF,Big5-1,客,A,A,,V,,V,,,,,,3,,12,命名常用,涿鹿之戰
5525,淀,06DC0,Big5-2,,A,A,,V,,,,,,5,4,1,人,12,世界地名,
5866,淖,06DD6,Big5-2,,A,,,V,,V,,,,,,3,,11,古漢文,
10556,淝,06DDD,Big5-2,,,,,V,,V,,,,,,3,,3,,淝水之戰
5146,淦,06DE6,Big5-1,,A,A,,V,,V,,,31,88,,2,,13,姓氏、人名,嚴家淦
5526,淩,06DE9,Big5-2,,C,,,V,,V,,2,35,232,1,4,,12,異體,凌
5147,淬,06DEC,Big5-1,客,A,,,V,V,V,,,,2,,2,,13,常用詞,淬鍊
2356,淼,06DFC,Big5-2,,B,B,,V,,V,,,,95,,3,,14,不分類,14 都有收
6549,渟,06E1F,Big5-2,客,A,A,,V,,V,,,,161,,2,,9,,
2368,温,6.00E+29,CJK,,,,,,,V,,10,42016,57,,1,常,14,不分類,14 都有收
6207,渼,06E3C,Big5-2,,A,A,,V,,V,,,,55,,4,,10,,
2378,湄,6.00E+44,Big5-1,客,A,A,,V,,V,,,1,194,42,3,,14,不分類,14 都有收
5867,湎,06E4E,Big5-1,,A,,,V,,V,,,,,,2,,11,偶爾會用,沉湎
6893,湟,06E5F,Big5-1,,A,A,,V,,V,,,,31,,2,,8,,
5868,湣,6.00E+63,Big5-1,,A,,,V,,V,,,,10,,4,,11,史地用字,齊湣王
6208,湲,6.00E+72,Big5-1,,A,A,,V,V,V,,,,37,,2,,10,,
2387,湳,6.00E+73,Big5-2,台,A,A,,V,,,,37,,11,1,,,14,不分類,14 都有收
5869,溏,06E8F,Big5-2,,C,,,V,,V,,,,6,,2,,11,常用詞,
8577,溚,06E9A,CJK,客,,,,,,V,,,,,,,,5,,
5870,溟,06E9F,Big5-2,,A,A,,V,,V,,,,1,10,2,,11,台灣地名,鯤溟里
6210,溱,06EB1,Big5-2,,A,A,,V,,V,,,,183,,3,,10,,
5527,溴,06EB4,Big5-1,,A,,,V,,V,,,,,,4,,12,科學工程,溴瑞香草藍；現在國小自然還在用嗎？ 我國中時有用過ＸＤＤ
5871,滉,06EC9,Big5-2,客,A,A,,V,,V,,,,8,,2,人,11,日文,日本人名
5872,滎,06ECE,Big5-2,,A,A,,V,,V,,,,24,,3,,11,命名常用,
5149,滕,06ED5,Big5-1,,A,A,,V,,V,,,1938,137,55,2,,13,姓氏、人名,
2415,滷,06EF7,Big5-1,台、客,A,A,,V,V,V,,,,,,2,,14,不分類,14 都有收
2416,滸,06EF8,Big5-2,台,A,A,,V,V,V,,,,10,,2,,14,不分類,14 都有收
5150,漉,06F09,Big5-2,台,A,,,V,V,V,,,,,,1,,13,常用詞,濕漉漉
5873,漚,06F1A,Big5-2,台、客,C,,,V,,V,,,,1,,3,,11,常用詞,
5151,潁,06F41,Big5-2,,A,A,,V,V,V,,,,208,,2,,13,中國地名,潁河
5152,潟,06F5F,Big5-1,,A,A,,V,,V,,,,,78,1,常,13,地理社會,潟湖
2444,潢,06F62,Big5-2,台、客,A,A,,V,V,V,,,,17,,3,,14,不分類,14 都有收
5529,潯,06F6F,Big5-1,,A,A,,V,,V,,,,1,,2,,12,古漢文,潯陽江頭夜送客
9492,潲,06F72,Big5-2,台,,,,V,,V,,,,1,,,,4,,插潲 啥潲 食潲
6551,澂,06F82,Big5-2,,B,,,V,,V,,,,99,,2,,9,,
6212,澇,06F87,Big5-2,,B,B,,V,,V,,,,,,,,10,,防旱防澇、旱澇不均
6552,澍,06F8D,Big5-2,台,A,A,,V,,V,,,,154,,3,,9,,
5874,澔,06F94,Big5-2,,A,A,,V,,V,,,,409,,3,,11,姓氏、人名,
6554,澦,06FA6,Big5-1,,A,,,V,,V,,,,1,,,,9,,
5875,澪,06FAA,Big5-2,,,,,,,,,,,1,,2,人,11,日文,
7262,澶,06FB6,Big5-1,,A,,,V,,V,,,,,,3,,7,,澶淵之盟
