序號,漢字,Unicode,字集,有疑問／想挑戰紀錄,台客語,IICore台,IICore港,甲表,乙表,小字典,重編,縣市名,路名,姓氏,考生,城市,JIS,字型數,分類,附註
6388,騵,09A35,Big5-1,,A,,,V,,V,,,,16,,,,10,,
5374,驁,09A41,Big5-2,,C,,,V,,V,,,,,,,,13,常用詞,桀驁不馴
5375,驊,09A4A,Big5-2,,B,B,,V,,V,,,,655,,3,,13,姓氏、人名,驊訊
5376,驍,09A4D,Big5-1,台,A,A,,V,V,V,,,,7,,2,人,13,常用詞,驍勇善戰
6024,驤,09A64,Big5-2,,C,,,V,,V,,,,33,,2,,11,,
8993,骾,09ABE,Big5-2,,,,,V,,V,,,,,,,,5,,如骾在喉
6389,髀,09AC0,Big5-2,客,,B,,V,,V,,,,,,2,,10,,
6025,髁,09AC1,Big5-1,,A,,,V,,V,,,,,,3,,11,,
6390,髂,09AC2,Big5-2,,B,,,V,,V,,,,,,,,10,,
6391,髑,09AD1,Big5-1,,A,,,V,,V,,,,,1,2,,10,,
7045,髕,09AD5,Big5-2,,C,,,V,,V,,,,,,4,,8,,髕骨
5377,髖,09AD6,Big5-1,,A,A,,V,,V,,,,,,3,,13,常用詞,髖關節
7046,髡,09AE1,Big5-1,台,A,,,V,,V,,,,,,,,8,,
6707,髫,09AEB,Big5-2,,,,,V,,V,,,,,,2,,9,,"髫稚(幼童;幼稚);髫草(指小兒,幼童);髫兒(幼童,小孩);髫歲(幼年,童年);髫發(小兒垂發。引申為童年之稱);髫齒"
6709,鬈,09B08,Big5-2,,C,,,V,,V,,,,,,3,,9,,"建議將「鬈」由命名包移至基本包。
「鬈」詞例有「鬈髮」「鬈毛」等。
兩岸語音標準皆作ㄑㄩㄢˊ，但台灣習慣讀作ㄐㄩㄢˇ（《廣韻》：鬈「又音捲」，ㄐㄩㄢˇ音亦有所依據），使得字音輸入多以「捲」「卷」替代。事實上，「捲」不作形容詞使用，而「卷」表示彎曲義時應讀ㄑㄩㄢˊ，此時語義及音讀皆與「鬈」基本相同，只不過「鬈」專指毛髮。
就文字功能性而言，「鬈」字有必要收錄於基本包。"
5378,鬟,09B1F,Big5-2,,C,,,V,V,V,,,,,,2,,13,常用詞,丫鬟
5379,鬣,09B23,Big5-1,,A,,,V,,V,,,,,,2,,13,動植物,鬣犬
6026,鬩,09B29,Big5-2,,B,,,V,,V,,,,,,2,,11,,
5684,鬻,09B3B,Big5-2,,,,,V,V,V,,,,,,2,,12,古漢文,
13401,魈,09B48,Big5-2,,,,,V,,V,,,,,,,,2,,"建議基本包收錄「魈」。
中研院現代漢語語料庫詞頻統計「山魈(Na)」詞頻7次（排序36388）。該詞之兩種意義涉分別及民間文學/神話與當代動物學等不同領域，「魈」字也在流行文化中頻繁出現（如小說、遊戲等）。"
5381,魍,09B4D,Big5-1,台,A,,,V,,V,,,,,,2,,13,常用詞,魑魅魍魎
5382,魎,09B4E,Big5-1,,A,,,V,,V,,,,,,2,,13,常用詞,魑魅魍魎
5383,魑,09B51,Big5-1,,A,,,V,,V,,,,,,2,,13,常用詞,魑魅魍魎
6027,魟,09B5F,Big5-2,,C,,,,,V,,,,,,,,11,,
5384,魠,09B60,Big5-2,台,C,,,V,,V,,,,,,,,13,常用詞,土魠魚
6028,魩,09B69,CJK,台,,,,,,,,,,,,,,11,,
6029,魴,09B74,Big5-2,台,C,,,V,,V,,,,1,,2,,11,,
6713,魽,09B7D,Big5-2,台,C,,,,,,,,,,,,,9,,
6715,鮒,09B92,Big5-2,,A,,,V,,V,,,,,,1,,9,,
13407,鮕,09B95,Big5-2,台,,,,,,,,1,,,,,,2,,地名 大鮕鮘
8105,鮘,09B98,CJK,台,,,,,,,,1,,,,,,6,,地名、大鮕鮘
6716,鮟,09B9F,CJK,,A,A,,,,V,,,,,,2,,9,,鮟鱇魚
6030,鮨,09BA8,Big5-2,,,,,V,,V,,,,,,2,,11,,
4897,鮭,09BAD,Big5-1,,A,,,V,V,V,,,,,1,1,,14,不分類,14 都有收
6717,鯀,09BC0,Big5-1,,A,,,V,,V,,,,,,2,,9,,
6718,鯁,09BC1,Big5-2,,C,,,V,,V,,,,,,3,,9,,如鯁在喉
6031,鯈,09BC8,Big5-1,,A,,,V,,V,,,,,,,,11,,
6394,鯓,09BD3,Big5-2,,C,,,V,,V,,1,,,,,,10,台灣地名,鯤鯓
6032,鯔,09BD4,Big5-2,,C,,,V,,V,,,,,,2,,11,,
4901,鯖,09BD6,Big5-1,,A,A,,V,,V,,,,,1,1,,14,不分類,14 都有收
4902,鯛,09BDB,Big5-1,,A,,,V,,V,,,,,2,1,人,14,不分類,14 都有收
7462,鯝,09BDD,CJK,,C,,,,V,,,,,,,4,,7,,鯝魚
5685,鯡,09BE1,Big5-2,,C,,,,,V,,,,,,2,,12,動植物,鯡魚罐頭
5686,鯤,09BE4,Big5-2,,A,A,,V,,V,,2,,11,,2,,12,台灣地名,鯤鯓
6719,鯪,09BEA,Big5-2,台,B,B,,V,,V,,,,,,4,,9,,
5385,鯰,09BF0,Big5-2,台,B,,,V,,V,,,,,,2,,13,常用詞,鯰魚
6395,鯷,09BF7,Big5-2,,C,,,V,,V,,,,,,4,,10,,
6033,鰂,09C02,CJK,,,,,,,V,,,,,,,,11,,
5687,鰆,09C06,Big5-2,,B,,,,,,,,,,,2,,12,,
5386,鰈,09C08,Big5-2,,B,,,V,,V,,,,,,2,,13,常用詞,鶼鰈情深
6720,鰕,09C15,CJK,,A,A,,,,V,,,,,,2,,9,,陽明山吻鰕虎
6721,鰤,09C24,Big5-2,,,,,,,,,,,,,2,,9,,鰤魚壽司
4910,鰲,09C32,Big5-2,,A,A,,V,,V,,14,,5,,2,,14,不分類,14 都有收
